filename,width,height,class,xmin,ymin,xmax,ymax
multiimg (1).png,640,480,v249b387_105,261,218,297,307
multiimg (1).png,640,480,v249b387_106,312,277,368,407
multiimg (1).png,640,480,v249b387_108,310,102,367,277
multiimg (11).png,640,480,v249b387_105,186,213,229,314
multiimg (11).png,640,480,v249b387_106,310,275,375,410
multiimg (11).png,640,480,v249b387_108,307,100,367,276
multiimg (12).png,640,480,v249b387_105,188,211,223,299
multiimg (12).png,640,480,v249b387_106,307,270,376,407
multiimg (12).png,640,480,v249b387_109,318,112,390,233
multiimg (13).png,640,480,v249b387_109,172,85,234,225
multiimg (13).png,640,480,v249b387_108,306,99,362,279
multiimg (13).png,640,480,v249b387_105,475,171,515,303
multiimg (13).png,640,480,v249b387_106,308,277,367,405
multiimg (14).png,640,480,v249b387_106,310,276,369,411
multiimg (14).png,640,480,v249b387_107,324,93,381,267
multiimg (14).png,640,480,v249b387_109,382,124,464,243
multiimg (14).png,640,480,v249b387_105,144,131,202,297
multiimg (15).png,640,480,v249b387_109,180,80,227,222
multiimg (15).png,640,480,v249b387_106,303,268,369,410
multiimg (15).png,640,480,v249b387_105,463,174,511,298
multiimg (15).png,640,480,v249b387_107,321,97,383,264
multiimg (2).png,640,480,v249b387_108,312,216,377,426
multiimg (2).png,640,480,v249b387_109,306,67,391,213
multiimg (3).png,640,480,v249b387_108,314,192,376,405
multiimg (3).png,640,480,v249b387_109,307,68,388,213
multiimg (4).png,640,480,v249b387_105,312,119,348,213
multiimg (4).png,640,480,v249b387_108,310,218,358,429
multiimg (5).png,640,480,v249b387_109,300,253,380,404
multiimg (5).png,640,480,v249b387_105,385,133,431,249
multiimg (6).png,640,480,v249b387_106,322,60,384,199
multiimg (6).png,640,480,v249b387_105,445,144,488,248
multiimg (7).png,640,480,v249b387_106,301,104,365,216
multiimg (7).png,640,480,v249b387_106,445,140,491,248
multiimg (8).png,640,480,v249b387_106,311,269,364,408
multiimg (8).png,640,480,v249b387_105,377,167,424,303
multiimg (8).png,640,480,v249b387_107,442,105,514,333
obj1img (41).png,640,480,v249b387_105,398,248,431,349
obj1img (42).png,640,480,v249b387_105,469,253,510,346
obj1img (43).png,640,480,v249b387_105,343,248,384,351
obj1img (44).png,640,480,v249b387_105,305,243,356,356
obj1img (45).png,640,480,v249b387_105,312,243,357,356
obj1img (46).png,640,480,v249b387_105,307,242,359,355
obj1img (47).png,640,480,v249b387_105,313,241,355,352
obj1img (48).png,640,480,v249b387_105,304,240,364,358
obj1img (49).png,640,480,v249b387_105,310,241,364,356
obj1img (50).png,640,480,v249b387_105,303,292,359,410
obj2img (41).png,640,480,v249b387_106,296,271,363,410
obj2img (42).png,640,480,v249b387_106,302,272,375,409
obj2img (43).png,640,480,v249b387_106,297,262,367,408
obj2img (44).png,640,480,v249b387_106,304,268,366,406
obj2img (45).png,640,480,v249b387_106,308,275,367,409
obj2img (46).png,640,480,v249b387_106,299,273,364,411
obj2img (47).png,640,480,v249b387_106,303,274,368,405
obj2img (48).png,640,480,v249b387_106,304,268,366,413
obj2img (49).png,640,480,v249b387_106,309,275,370,405
obj2img (50).png,640,480,v249b387_106,308,272,373,410
obj3img (41).png,640,480,v249b387_107,308,199,381,397
obj3img (42).png,640,480,v249b387_107,327,197,383,399
obj3img (43).png,640,480,v249b387_107,326,196,387,395
obj3img (44).png,640,480,v249b387_107,314,197,393,399
obj3img (45).png,640,480,v249b387_107,321,194,391,398
obj3img (46).png,640,480,v249b387_107,314,190,391,394
obj3img (47).png,640,480,v249b387_107,336,174,429,421
obj3img (48).png,640,480,v249b387_107,332,175,413,419
obj3img (49).png,640,480,v249b387_107,324,189,395,397
obj3img (50).png,640,480,v249b387_107,321,193,390,399
obj4img (41).png,640,480,v249b387_108,308,178,375,405
obj4img (42).png,640,480,v249b387_108,311,181,376,412
obj4img (43).png,640,480,v249b387_108,313,185,384,415
obj4img (44).png,640,480,v249b387_108,307,185,379,407
obj4img (45).png,640,480,v249b387_108,310,179,383,405
obj4img (46).png,640,480,v249b387_108,304,182,378,407
obj4img (47).png,640,480,v249b387_108,322,160,412,427
obj4img (48).png,640,480,v249b387_108,315,169,394,423
obj4img (49).png,640,480,v249b387_108,316,184,375,410
obj4img (50).png,640,480,v249b387_108,311,189,370,410
obj5img (41).png,640,480,v249b387_109,282,206,377,346
obj5img (42).png,640,480,v249b387_109,286,202,372,345
obj5img (43).png,640,480,v249b387_109,288,196,377,348
obj5img (44).png,640,480,v249b387_109,291,190,376,351
obj5img (45).png,640,480,v249b387_109,291,195,376,346
obj5img (46).png,640,480,v249b387_109,296,189,371,346
obj5img (47).png,640,480,v249b387_109,299,174,415,351
obj5img (48).png,640,480,v249b387_109,299,179,387,352
obj5img (49).png,640,480,v249b387_109,298,199,383,348
obj5img (50).png,640,480,v249b387_109,299,203,370,341
